PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Inhibition_Primary at 6 uM
RESULT_TYPE,,,,,,,FLOAT
RESULT_DESCR,,,,,,,%Inhibition in the primary screen at 6 micromolar test compound concentration; relative to Rhok2 in the presence of 13 micromolar Y-27632.
RESULT_UNIT,,,,,,,NONE
12550,857632,658980,Inactive,0,,,-9.1
12551,857633,658981,Inactive,3,,,5.6
12552,857634,658982,Inactive,0,,,-9.6
12553,857635,658983,Inactive,0,,,-2.6
12554,857636,658984,Inactive,0,,,-0.7
12555,857637,658985,Inactive,0,,,-1.2
12556,857638,658986,Inactive,0,,,1.4
12557,857639,658987,Inactive,0,,,-5
12558,857640,658988,Inactive,0,,,-9.8
12559,857641,658989,Inactive,0,,,-1.1
12560,857642,622734,Inactive,0,,,0.9
12561,857643,658990,Inactive,0,,,-4.3
12562,857644,658991,Inactive,3,,,5.3
12563,857645,6869610,Inactive,3,,,5.2
12564,857646,658993,Inactive,0,,,1.5
12565,857647,658994,Inactive,0,,,-4
12566,857648,658995,Inactive,1,,,2.4
12567,857649,658996,Inactive,0,,,-0.5
12568,857650,658997,Inactive,0,,,1.6
12569,857651,617281,Inactive,0,,,-9.7
12570,857652,5389105,Inactive,1,,,2.6
12571,857653,658999,Inactive,0,,,1.4
12572,857654,659000,Inactive,2,,,4.6
12573,857655,659001,Inactive,2,,,3.6
12574,857656,723041,Inactive,0,,,-3.4
12575,857657,659003,Inactive,0,,,-4
12576,857658,2881919,Inactive,0,,,0
12577,857659,2881159,Inactive,0,,,-1.7
12578,857660,5307594,Inactive,0,,,-0.7
12579,857661,6603607,Inactive,0,,,-2.2
12580,857662,6603380,Inactive,0,,,0.8
12581,857663,2881281,Inactive,3,,,6.5
12582,857664,6603183,Inactive,6,,,10.2
12583,857665,6603455,Inactive,0,,,1.3
12584,857666,659020,Inactive,0,,,-4.3
12585,857667,6603381,Inactive,5,,,8.8
12586,857668,2893298,Inactive,3,,,5.8
12587,857669,5728437,Inactive,4,,,7.9
12588,857670,5389106,Inactive,0,,,-4.3
12589,857671,6603379,Inactive,0,,,-0.6
12590,857672,5334457,Inactive,0,,,1.2
12591,857673,6603611,Inactive,0,,,-6.6
12592,857674,659035,Inactive,0,,,0
12593,857675,659036,Inactive,0,,,-9.7
12594,857676,659037,Inactive,0,,,-8.7
12595,857677,659038,Inactive,0,,,-2.2
12596,857678,9579595,Inactive,0,,,-7.9
12597,857680,659041,Inactive,2,,,3.6
12598,857681,659042,Inactive,2,,,4.6
12599,857682,659043,Inactive,0,,,0.8
12600,857683,659044,Inactive,0,,,-15.5
12601,857684,614956,Inactive,1,,,1.9
12602,857685,659045,Inactive,0,,,-25.8
12603,857686,624590,Inactive,0,,,1.1
12604,857687,659046,Inactive,5,,,8.6
12605,857688,659047,Inactive,0,,,-0.3
12606,857689,659048,Inactive,0,,,1.6
12607,857690,659049,Inactive,2,,,4.4
12608,857691,9568652,Inactive,2,,,4.2
12609,857692,659051,Inactive,0,,,-0.4
12610,857693,659052,Inactive,4,,,7.4
12611,857694,659053,Inactive,4,,,7.3
12612,857695,5389108,Inactive,1,,,2.6
12613,857696,659055,Inactive,0,,,-0.9
12614,857697,659056,Inactive,3,,,6.1
12615,857698,659057,Inactive,0,,,0.9
12616,857699,659058,Inactive,4,,,7.7
12617,857700,659059,Inactive,0,,,1.6
12618,857701,659060,Inactive,0,,,-6.3
12619,857702,659061,Inactive,0,,,-0.2
12620,857703,659062,Inactive,3,,,6.6
12621,857704,659063,Inactive,3,,,6
12622,857705,659064,Inactive,4,,,7.6
12623,857706,659065,Inactive,3,,,5.4
12624,857707,659066,Inactive,1,,,1.9
12625,857708,659067,Inactive,0,,,0.4
12626,857709,659068,Inactive,8,,,14.1
12627,857710,659069,Inactive,0,,,-0.1
12628,857711,659070,Inactive,3,,,5.2
12629,857712,659071,Inactive,0,,,-1.6
12630,857713,659072,Inactive,0,,,-8.3
12631,857714,659073,Inactive,9,,,16.5
12632,857715,659074,Inactive,6,,,10.9
12633,857716,659075,Inactive,3,,,5.9
12634,857717,659076,Inactive,0,,,0
12635,857718,659077,Inactive,0,,,-17.8
12636,857719,5377213,Inactive,1,,,1.9
12637,857720,659078,Inactive,3,,,6.4
12638,857721,659079,Inactive,6,,,10.8
12639,857722,659080,Inactive,0,,,-3.8
12640,857723,659081,Inactive,0,,,-5.4
12641,857724,659082,Inactive,0,,,-3.9
12642,857725,659083,Inactive,0,,,0.6
12643,857726,659084,Inactive,3,,,5.7
12644,857727,659085,Inactive,1,,,1.8
12645,857728,659086,Inactive,2,,,4.5
12646,857729,332456,Inactive,6,,,10.2
12647,857730,659087,Inactive,0,,,0.7
12648,857731,659088,Inactive,0,,,-0.1
12649,857732,659089,Inactive,0,,,-1.2
12650,857733,659090,Inactive,3,,,6.4
12651,857734,659091,Inactive,2,,,4.2
12652,857735,659092,Inactive,0,,,-0.8
12653,857736,659093,Inactive,0,,,0.1
12654,857737,659094,Inactive,3,,,5.4
12655,857738,659095,Inactive,2,,,4.9
12656,857739,659096,Inactive,4,,,7.9
12657,857740,659097,Inactive,0,,,-7.7
12658,857741,659098,Inactive,3,,,5.5
12659,857742,659099,Inactive,0,,,1.2
12660,857743,5578,Inactive,0,,,0.1
12661,857744,659100,Inactive,0,,,-3.7
12662,857745,659101,Inactive,2,,,4.3
12663,857746,5389109,Inactive,4,,,7.5
12664,857747,659103,Inactive,0,,,1.4
12665,857748,659104,Inactive,0,,,-2.1
12666,857749,659105,Inactive,4,,,7.2
12667,857750,659106,Inactive,3,,,6.2
12668,857751,659107,Inactive,0,,,-7
12669,857752,659108,Inactive,5,,,9.3
12670,857753,6603422,Inactive,0,,,-1.8
12671,857754,659110,Inactive,3,,,5.3
12672,857755,659111,Inactive,0,,,-4.4
12673,857756,659112,Inactive,0,,,-6.8
12674,857757,659113,Inactive,0,,,-0.4
12675,857758,659114,Inactive,0,,,0.9
12676,857759,659115,Inactive,0,,,-3.9
12677,857760,659116,Inactive,0,,,0.4
12678,857761,659117,Inactive,1,,,2.6
12679,857762,5389110,Inactive,0,,,1.3
12680,857763,659119,Inactive,3,,,5.6
12681,857764,549228,Inactive,1,,,2.4
12682,857765,659120,Inactive,1,,,2.8
12683,857766,659121,Inactive,1,,,2.4
12684,857767,659122,Inactive,5,,,8.8
12685,857768,1913054,Inactive,0,,,-3.5
12686,857769,659124,Inactive,0,,,-8.5
12687,857770,659125,Inactive,0,,,1.6
12688,857771,659126,Inactive,0,,,1.3
12689,857772,5389111,Inactive,2,,,4.4
12690,857773,622000,Inactive,2,,,5
12691,857774,659128,Inactive,0,,,-3.6
